Crop,State,Market,Area,Production,Yield,Milled Production,Rough Production
Peanut,Taraba,2025/2026,"3,450","4,300",1.25,,
Peanut,Taraba,5-year Average 2020/21 - 2024/25,"3,524","4,269",1.21,,
Peanut,Taraba,Percent Change From 5 Year Average (%),-2,1,3,,
Peanut,Taraba,Record,"3,702","4,521",1.35,,
Peanut,Taraba,Record Year,2021/2022,2017/2018,2019/2020,,
Peanut,Primary ~80% Production,2015/2016,"2,802","3,467",1.24,,
Peanut,Primary ~80% Production,2016/2017,"3,459","4,361",1.26,,
Peanut,Primary ~80% Production,2017/2018,"3,597","4,521",1.26,,
Peanut,Primary ~80% Production,2018/2019,"3,500","4,422",1.26,,
Peanut,Primary ~80% Production,2019/2020,"3,300","4,441",1.35,,
Peanut,Primary ~80% Production,2020/2021,"3,620","4,231",1.17,,
Peanut,Primary ~80% Production,2021/2022,"3,702","4,228",1.14,,
Peanut,Primary ~80% Production,2022/2023,"3,400","4,284",1.26,,
Peanut,Primary ~80% Production,2023/2024,"3,450","4,300",1.25,,
Peanut,Primary ~80% Production,2024/2025,"3,450","4,300",1.25,,
Peanut,Primary ~80% Production,2025/2026,"3,450","4,300",1.25,,
Peanut,Primary ~80% Production,5-year Average 2020/21 - 2024/25,"3,524","4,269",1.21,,
Peanut,Primary ~80% Production,Percent Change From 5 Year Average (%),-2,1,3,,
Peanut,Primary ~80% Production,Record,"3,702","4,521",1.35,,
Peanut,Primary ~80% Production,Record Year,2021/2022,2017/2018,2019/2020,,
Soybean,Benue,2015/2016,609,589,0.97,,
Soybean,Benue,2016/2017,"1,071",937,0.87,,
Soybean,Benue,2017/2018,"1,120",994,0.89,,
Soybean,Benue,2018/2019,"1,000","1,000",1.00,,
Soybean,Benue,2019/2020,"1,040","1,049",1.01,,
Soybean,Benue,2020/2021,"1,208","1,262",1.04,,
Soybean,Benue,2021/2022,"1,106","1,166",1.05,,
Soybean,Benue,2022/2023,"1,200","1,320",1.10,,
Soybean,Benue,2023/2024,"1,200","1,350",1.13,,
Soybean,Benue,2024/2025,"1,350","1,400",1.04,,
Soybean,Benue,2025/2026,"1,400","1,500",1.07,,
Soybean,Benue,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Benue,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Benue,Record,"1,350","1,400",1.13,,
Soybean,Benue,Record Year,2024/2025,2024/2025,2023/2024,,
Soybean,Kaduna,2015/2016,609,589,0.97,,
Soybean,Kaduna,2016/2017,"1,071",937,0.87,,
Soybean,Kaduna,2017/2018,"1,120",994,0.89,,
Soybean,Kaduna,2018/2019,"1,000","1,000",1.00,,
Soybean,Kaduna,2019/2020,"1,040","1,049",1.01,,
Soybean,Kaduna,2020/2021,"1,208","1,262",1.04,,
Soybean,Kaduna,2021/2022,"1,106","1,166",1.05,,
Soybean,Kaduna,2022/2023,"1,200","1,320",1.10,,
Soybean,Kaduna,2023/2024,"1,200","1,350",1.13,,
Soybean,Kaduna,2024/2025,"1,350","1,400",1.04,,
Soybean,Kaduna,2025/2026,"1,400","1,500",1.07,,
Soybean,Kaduna,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Kaduna,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Kaduna,Record,"1,350","1,400",1.13,,
Soybean,Kaduna,Record Year,2024/2025,2024/2025,2023/2024,,
Soybean,Kano,2015/2016,609,589,0.97,,
Soybean,Kano,2016/2017,"1,071",937,0.87,,
Soybean,Kano,2017/2018,"1,120",994,0.89,,
Soybean,Kano,2018/2019,"1,000","1,000",1.00,,
Soybean,Kano,2019/2020,"1,040","1,049",1.01,,
Soybean,Kano,2020/2021,"1,208","1,262",1.04,,
Soybean,Kano,2021/2022,"1,106","1,166",1.05,,
Soybean,Kano,2022/2023,"1,200","1,320",1.10,,
Soybean,Kano,2023/2024,"1,200","1,350",1.13,,
Soybean,Kano,2024/2025,"1,350","1,400",1.04,,
Soybean,Kano,2025/2026,"1,400","1,500",1.07,,
Soybean,Kano,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Kano,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Kano,Record,"1,350","1,400",1.13,,
Soybean,Kano,Record Year,2024/2025,2024/2025,2023/2024,,
Soybean,Niger,2015/2016,609,589,0.97,,
Soybean,Niger,2016/2017,"1,071",937,0.87,,
Soybean,Niger,2017/2018,"1,120",994,0.89,,
Soybean,Niger,2018/2019,"1,000","1,000",1.00,,
Soybean,Niger,2019/2020,"1,040","1,049",1.01,,
Soybean,Niger,2020/2021,"1,208","1,262",1.04,,
Soybean,Niger,2021/2022,"1,106","1,166",1.05,,
Soybean,Niger,2022/2023,"1,200","1,320",1.10,,
Soybean,Niger,2023/2024,"1,200","1,350",1.13,,
Soybean,Niger,2024/2025,"1,350","1,400",1.04,,
Soybean,Niger,2025/2026,"1,400","1,500",1.07,,
Soybean,Niger,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Niger,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Niger,Record,"1,350","1,400",1.13,,
Soybean,Niger,Record Year,2024/2025,2024/2025,2023/2024,,
Soybean,Taraba,2015/2016,609,589,0.97,,
Soybean,Taraba,2016/2017,"1,071",937,0.87,,
Soybean,Taraba,2017/2018,"1,120",994,0.89,,
Soybean,Taraba,2018/2019,"1,000","1,000",1.00,,
Soybean,Taraba,2019/2020,"1,040","1,049",1.01,,
Soybean,Taraba,2020/2021,"1,208","1,262",1.04,,
Soybean,Taraba,2021/2022,"1,106","1,166",1.05,,
Soybean,Taraba,2022/2023,"1,200","1,320",1.10,,
Soybean,Taraba,2023/2024,"1,200","1,350",1.13,,
Soybean,Taraba,2024/2025,"1,350","1,400",1.04,,
Soybean,Taraba,2025/2026,"1,400","1,500",1.07,,
Soybean,Taraba,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Taraba,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Taraba,Record,"1,350","1,400",1.13,,
Soybean,Taraba,Record Year,2024/2025,2024/2025,2023/2024,,
Soybean,Primary ~80% Production,2015/2016,609,589,0.97,,
Soybean,Primary ~80% Production,2016/2017,"1,071",937,0.87,,
Soybean,Primary ~80% Production,2017/2018,"1,120",994,0.89,,
Soybean,Primary ~80% Production,2018/2019,"1,000","1,000",1.00,,
Soybean,Primary ~80% Production,2019/2020,"1,040","1,049",1.01,,
Soybean,Primary ~80% Production,2020/2021,"1,208","1,262",1.04,,
Soybean,Primary ~80% Production,2021/2022,"1,106","1,166",1.05,,
Soybean,Primary ~80% Production,2022/2023,"1,200","1,320",1.10,,
Soybean,Primary ~80% Production,2023/2024,"1,200","1,350",1.13,,
Soybean,Primary ~80% Production,2024/2025,"1,350","1,400",1.04,,
Soybean,Primary ~80% Production,2025/2026,"1,400","1,500",1.07,,
Soybean,Primary ~80% Production,5-year Average 2020/21 - 2024/25,"1,213","1,300",1.07,,
Soybean,Primary ~80% Production,Percent Change From 5 Year Average (%),15,15,0,,
Soybean,Primary ~80% Production,Record,"1,350","1,400",1.13,,
Soybean,Primary ~80% Production,Record Year,2024/2025,2024/2025,2023/2024,,
Rice,Niger,2015/2016,"3,122",,2.00,"3,941","6,256"
Rice,Niger,2016/2017,"3,300",,2.18,"4,536","7,200"
Rice,Niger,2017/2018,"3,300",,2.15,"4,470","7,095"
Rice,Niger,2018/2019,"3,350",,2.51,"5,294","8,403"
Rice,Niger,2019/2020,"3,500",,2.41,"5,314","8,435"
Rice,Niger,2020/2021,"3,600",,2.27,"5,148","8,171"
Rice,Niger,2021/2022,"3,650",,2.29,"5,255","8,341"
Rice,Niger,2022/2023,"3,500",,2.45,"5,408","8,584"
Rice,Niger,2023/2024,"3,600",,2.47,"5,607","8,900"
Rice,Niger,2024/2025,"3,500",,2.43,"5,355","8,500"
Rice,Niger,2025/2026,"3,500",,2.37,"5,229","8,300"
Rice,Niger,5-year Average 2020/21 - 2024/25,"3,570",,2.38,"5,355","8,499"
Rice,Niger,Percent Change From 5 Year Average (%),-2,,0,-2,55
Rice,Niger,Record,"3,650",,2.51,"5,607","8,900"
Rice,Niger,Record Year,2021/2022,,2018/2019,2023/2024,2023/2024
Rice,Benue,2015/2016,"3,122",,2.00,"3,941","6,256"
Rice,Benue,2016/2017,"3,300",,2.18,"4,536","7,200"
Rice,Benue,2017/2018,"3,300",,2.15,"4,470","7,095"
Rice,Benue,2018/2019,"3,350",,2.51,"5,294","8,403"
Rice,Benue,2019/2020,"3,500",,2.41,"5,314","8,435"
Rice,Benue,2020/2021,"3,600",,2.27,"5,148","8,171"
Rice,Benue,2021/2022,"3,650",,2.29,"5,255","8,341"
Rice,Benue,2022/2023,"3,500",,2.45,"5,408","8,584"
Rice,Benue,2023/2024,"3,600",,2.47,"5,607","8,900"
Rice,Benue,2024/2025,"3,500",,2.43,"5,355","8,500"
Rice,Benue,2025/2026,"3,500",,2.37,"5,229","8,300"
Rice,Benue,5-year Average 2020/21 - 2024/25,"3,570",,2.38,"5,355","8,499"
Rice,Benue,Percent Change From 5 Year Average (%),-2,,0,-2,55
Rice,Benue,Record,"3,650",,2.51,"5,607","8,900"
Rice,Benue,Record Year,2021/2022,,2018/2019,2023/2024,2023/2024
Rice,Kwara,2015/2016,"3,122",,2.00,"3,941","6,256"
Rice,Kwara,2016/2017,"3,300",,2.18,"4,536","7,200"
Rice,Kwara,2017/2018,"3,300",,2.15,"4,470","7,095"
Rice,Kwara,2018/2019,"3,350",,2.51,"5,294","8,403"
Rice,Kwara,2019/2020,"3,500",,2.41,"5,314","8,435"
Rice,Kwara,2020/2021,"3,600",,2.27,"5,148","8,171"
Rice,Kwara,2021/2022,"3,650",,2.29,"5,255","8,341"
Rice,Kwara,2022/2023,"3,500",,2.45,"5,408","8,584"
Rice,Kwara,2023/2024,"3,600",,2.47,"5,607","8,900"
Rice,Kwara,2024/2025,"3,500",,2.43,"5,355","8,500"
Rice,Kwara,2025/2026,"3,500",,2.37,"5,229","8,300"
Rice,Kwara,5-year Average 2020/21 - 2024/25,"3,570",,2.38,"5,355","8,499"
Rice,Kwara,Percent Change From 5 Year Average (%),-2,,0,-2,55
Rice,Kwara,Record,"3,650",,2.51,"5,607","8,900"
Rice,Kwara,Record Year,2021/2022,,2018/2019,2023/2024,2023/2024
Rice,Nasarawa,2015/2016,"3,122",,2.00,"3,941","6,256"
Rice,Nasarawa,2016/2017,"3,300",,2.18,"4,536","7,200"
Rice,Nasarawa,2017/2018,"3,300",,2.15,"4,470","7,095"
Rice,Nasarawa,2018/2019,"3,350",,2.51,"5,294","8,403"
Rice,Nasarawa,2019/2020,"3,500",,2.41,"5,314","8,435"
Rice,Nasarawa,2020/2021,"3,600",,2.27,"5,148","8,171"
Rice,Nasarawa,2021/2022,"3,650",,2.29,"5,255","8,341"
Rice,Nasarawa,2022/2023,"3,500",,2.45,"5,408","8,584"
Rice,Nasarawa,2023/2024,"3,600",,2.47,"5,607","8,900"
Rice,Nasarawa,2024/2025,"3,500",,2.43,"5,355","8,500"
Rice,Nasarawa,2025/2026,"3,500",,2.37,"5,229","8,300"
Rice,Nasarawa,5-year Average 2020/21 - 2024/25,"3,570",,2.38,"5,355","8,499"
Rice,Nasarawa,Percent Change From 5 Year Average (%),-2,,0,-2,55
Rice,Nasarawa,Record,"3,650",,2.51,"5,607","8,900"
Rice,Nasarawa,Record Year,2021/2022,,2018/2019,2023/2024,2023/2024
Rice,Primary ~80% Production,2015/2016,"3,122",,2.00,"3,941","6,256"
Rice,Primary ~80% Production,2016/2017,"3,300",,2.18,"4,536","7,200"
Rice,Primary ~80% Production,2017/2018,"3,300",,2.15,"4,470","7,095"
Rice,Primary ~80% Production,2018/2019,"3,350",,2.51,"5,294","8,403"
Rice,Primary ~80% Production,2019/2020,"3,500",,2.41,"5,314","8,435"
Rice,Primary ~80% Production,2020/2021,"3,600",,2.27,"5,148","8,171"
Rice,Primary ~80% Production,2021/2022,"3,650",,2.29,"5,255","8,341"
Rice,Primary ~80% Production,2022/2023,"3,500",,2.45,"5,408","8,584"
Rice,Primary ~80% Production,2023/2024,"3,600",,2.47,"5,607","8,900"
Rice,Primary ~80% Production,2024/2025,"3,500",,2.43,"5,355","8,500"
Rice,Primary ~80% Production,2025/2026,"3,500",,2.37,"5,229","8,300"
Rice,Primary ~80% Production,5-year Average 2020/21 - 2024/25,"3,570",,2.38,"5,355","8,499"
Rice,Primary ~80% Production,Percent Change From 5 Year Average (%),-2,,0,-2,55
Rice,Primary ~80% Production,Record,"3,650",,2.51,"5,607","8,900"
Rice,Primary ~80% Production,Record Year,2021/2022,,2018/2019,2023/2024,2023/2024
Sorghum,Kano,2015/2016,"5,899","7,005",1.19,,
Sorghum,Kano,2016/2017,"5,472","7,556",1.38,,
Sorghum,Kano,2017/2018,"5,820","6,939",1.19,,
Sorghum,Kano,2018/2019,"5,596","6,721",1.20,,
Sorghum,Kano,2019/2020,"5,397","6,665",1.23,,
Sorghum,Kano,2020/2021,"5,800","6,590",1.14,,
Sorghum,Kano,2021/2022,"5,931","6,725",1.13,,
Sorghum,Kano,2022/2023,"5,700","6,806",1.19,,
Sorghum,Kano,2023/2024,"5,700","6,400",1.12,,
Sorghum,Kano,2024/2025,"6,100","6,500",1.07,,
Sorghum,Kano,2025/2026,"6,100","6,900",1.13,,
Sorghum,Kano,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Kano,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Kano,Record,"6,100","7,556",1.38,,
Sorghum,Kano,Record Year,2024/2025,2016/2017,2016/2017,,
Sorghum,Niger,2015/2016,"5,899","7,005",1.19,,
Sorghum,Niger,2016/2017,"5,472","7,556",1.38,,
Sorghum,Niger,2017/2018,"5,820","6,939",1.19,,
Sorghum,Niger,2018/2019,"5,596","6,721",1.20,,
Sorghum,Niger,2019/2020,"5,397","6,665",1.23,,
Sorghum,Niger,2020/2021,"5,800","6,590",1.14,,
Sorghum,Niger,2021/2022,"5,931","6,725",1.13,,
Sorghum,Niger,2022/2023,"5,700","6,806",1.19,,
Sorghum,Niger,2023/2024,"5,700","6,400",1.12,,
Sorghum,Niger,2024/2025,"6,100","6,500",1.07,,
Sorghum,Niger,2025/2026,"6,100","6,900",1.13,,
Sorghum,Niger,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Niger,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Niger,Record,"6,100","7,556",1.38,,
Sorghum,Niger,Record Year,2024/2025,2016/2017,2016/2017,,
Sorghum,Bauchi,2015/2016,"5,899","7,005",1.19,,
Sorghum,Bauchi,2016/2017,"5,472","7,556",1.38,,
Sorghum,Bauchi,2017/2018,"5,820","6,939",1.19,,
Sorghum,Bauchi,2018/2019,"5,596","6,721",1.20,,
Sorghum,Bauchi,2019/2020,"5,397","6,665",1.23,,
Sorghum,Bauchi,2020/2021,"5,800","6,590",1.14,,
Sorghum,Bauchi,2021/2022,"5,931","6,725",1.13,,
Sorghum,Bauchi,2022/2023,"5,700","6,806",1.19,,
Sorghum,Bauchi,2023/2024,"5,700","6,400",1.12,,
Sorghum,Bauchi,2024/2025,"6,100","6,500",1.07,,
Sorghum,Bauchi,2025/2026,"6,100","6,900",1.13,,
Sorghum,Bauchi,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Bauchi,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Bauchi,Record,"6,100","7,556",1.38,,
Sorghum,Bauchi,Record Year,2024/2025,2016/2017,2016/2017,,
Sorghum,Kaduna,2015/2016,"5,899","7,005",1.19,,
Sorghum,Kaduna,2016/2017,"5,472","7,556",1.38,,
Sorghum,Kaduna,2017/2018,"5,820","6,939",1.19,,
Sorghum,Kaduna,2018/2019,"5,596","6,721",1.20,,
Sorghum,Kaduna,2019/2020,"5,397","6,665",1.23,,
Sorghum,Kaduna,2020/2021,"5,800","6,590",1.14,,
Sorghum,Kaduna,2021/2022,"5,931","6,725",1.13,,
Sorghum,Kaduna,2022/2023,"5,700","6,806",1.19,,
Sorghum,Kaduna,2023/2024,"5,700","6,400",1.12,,
Sorghum,Kaduna,2024/2025,"6,100","6,500",1.07,,
Sorghum,Kaduna,2025/2026,"6,100","6,900",1.13,,
Sorghum,Kaduna,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Kaduna,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Kaduna,Record,"6,100","7,556",1.38,,
Sorghum,Kaduna,Record Year,2024/2025,2016/2017,2016/2017,,
Sorghum,Katsina,2015/2016,"5,899","7,005",1.19,,
Sorghum,Katsina,2016/2017,"5,472","7,556",1.38,,
Sorghum,Katsina,2017/2018,"5,820","6,939",1.19,,
Sorghum,Katsina,2018/2019,"5,596","6,721",1.20,,
Sorghum,Katsina,2019/2020,"5,397","6,665",1.23,,
Sorghum,Katsina,2020/2021,"5,800","6,590",1.14,,
Sorghum,Katsina,2021/2022,"5,931","6,725",1.13,,
Sorghum,Katsina,2022/2023,"5,700","6,806",1.19,,
Sorghum,Katsina,2023/2024,"5,700","6,400",1.12,,
Sorghum,Katsina,2024/2025,"6,100","6,500",1.07,,
Sorghum,Katsina,2025/2026,"6,100","6,900",1.13,,
Sorghum,Katsina,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Katsina,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Katsina,Record,"6,100","7,556",1.38,,
Sorghum,Katsina,Record Year,2024/2025,2016/2017,2016/2017,,
Sorghum,Primary ~80% Production,2015/2016,"5,899","7,005",1.19,,
Sorghum,Primary ~80% Production,2016/2017,"5,472","7,556",1.38,,
Sorghum,Primary ~80% Production,2017/2018,"5,820","6,939",1.19,,
Sorghum,Primary ~80% Production,2018/2019,"5,596","6,721",1.20,,
Sorghum,Primary ~80% Production,2019/2020,"5,397","6,665",1.23,,
Sorghum,Primary ~80% Production,2020/2021,"5,800","6,590",1.14,,
Sorghum,Primary ~80% Production,2021/2022,"5,931","6,725",1.13,,
Sorghum,Primary ~80% Production,2022/2023,"5,700","6,806",1.19,,
Sorghum,Primary ~80% Production,2023/2024,"5,700","6,400",1.12,,
Sorghum,Primary ~80% Production,2024/2025,"6,100","6,500",1.07,,
Sorghum,Primary ~80% Production,2025/2026,"6,100","6,900",1.13,,
Sorghum,Primary ~80% Production,5-year Average 2020/21 - 2024/25,"5,846","6,604",1.13,,
Sorghum,Primary ~80% Production,Percent Change From 5 Year Average (%),4,4,0,,
Sorghum,Primary ~80% Production,Record,"6,100","7,556",1.38,,
Sorghum,Primary ~80% Production,Record Year,2024/2025,2016/2017,2016/2017,,
Wheat,Borno,2015/2016,60,60,1.00,,
Wheat,Borno,2016/2017,60,60,1.00,,
Wheat,Borno,2017/2018,49,83,1.69,,
Wheat,Borno,2018/2019,52,88,1.69,,
Wheat,Borno,2019/2020,52,87,1.67,,
Wheat,Borno,2020/2021,50,55,1.10,,
Wheat,Borno,2021/2022,80,90,1.13,,
Wheat,Borno,2022/2023,100,110,1.10,,
Wheat,Borno,2023/2024,110,120,1.09,,
Wheat,Borno,2024/2025,110,125,1.14,,
Wheat,Borno,2025/2026,115,130,1.13,,
Wheat,Borno,5-year Average 2020/21 - 2024/25,90,100,1.11,,
Wheat,Borno,Percent Change From 5 Year Average (%),28,30,2,,
Wheat,Borno,Record,110,125,1.69,,
Wheat,Borno,Record Year,2023/2024,2024/2025,2017/2018,,
Wheat,Jigawa,2015/2016,60,60,1.00,,
Wheat,Jigawa,2016/2017,60,60,1.00,,
Wheat,Jigawa,2017/2018,49,83,1.69,,
Wheat,Jigawa,2018/2019,52,88,1.69,,
Wheat,Jigawa,2019/2020,52,87,1.67,,
Wheat,Jigawa,2020/2021,50,55,1.10,,
Wheat,Jigawa,2021/2022,80,90,1.13,,
Wheat,Jigawa,2022/2023,100,110,1.10,,
Wheat,Jigawa,2023/2024,110,120,1.09,,
Wheat,Jigawa,2024/2025,110,125,1.14,,
Wheat,Jigawa,2025/2026,115,130,1.13,,
Wheat,Jigawa,5-year Average 2020/21 - 2024/25,90,100,1.11,,
Wheat,Jigawa,Percent Change From 5 Year Average (%),28,30,2,,
Wheat,Jigawa,Record,110,125,1.69,,
Wheat,Jigawa,Record Year,2023/2024,2024/2025,2017/2018,,
Wheat,Katsina,2015/2016,60,60,1.00,,
Wheat,Katsina,2016/2017,60,60,1.00,,
Wheat,Katsina,2017/2018,49,83,1.69,,
Wheat,Katsina,2018/2019,52,88,1.69,,
Wheat,Katsina,2019/2020,52,87,1.67,,
Wheat,Katsina,2020/2021,50,55,1.10,,
Wheat,Katsina,2021/2022,80,90,1.13,,
Wheat,Katsina,2022/2023,100,110,1.10,,
Wheat,Katsina,2023/2024,110,120,1.09,,
Wheat,Katsina,2024/2025,110,125,1.14,,
Wheat,Katsina,2025/2026,115,130,1.13,,
Wheat,Katsina,5-year Average 2020/21 - 2024/25,90,100,1.11,,
Wheat,Katsina,Percent Change From 5 Year Average (%),28,30,2,,
Wheat,Katsina,Record,110,125,1.69,,
Wheat,Katsina,Record Year,2023/2024,2024/2025,2017/2018,,
Wheat,Primary ~80% Production,2015/2016,60,60,1.00,,
Wheat,Primary ~80% Production,2016/2017,60,60,1.00,,
Wheat,Primary ~80% Production,2017/2018,49,83,1.69,,
Wheat,Primary ~80% Production,2018/2019,52,88,1.69,,
Wheat,Primary ~80% Production,2019/2020,52,87,1.67,,
Wheat,Primary ~80% Production,2020/2021,50,55,1.10,,
Wheat,Primary ~80% Production,2021/2022,80,90,1.13,,
Wheat,Primary ~80% Production,2022/2023,100,110,1.10,,
Wheat,Primary ~80% Production,2023/2024,110,120,1.09,,
Wheat,Primary ~80% Production,2024/2025,110,125,1.14,,
Wheat,Primary ~80% Production,2025/2026,115,130,1.13,,
Wheat,Primary ~80% Production,5-year Average 2020/21 - 2024/25,90,100,1.11,,
Wheat,Primary ~80% Production,Percent Change From 5 Year Average (%),28,30,2,,
Wheat,Primary ~80% Production,Record,110,125,1.69,,
Wheat,Primary ~80% Production,Record Year,2023/2024,2024/2025,2017/2018,,
